Site,Parameter,Date (LST),Year,Month,Day,Hour,Value,Unit,Duration,QC Name
Shenyang,PM2.5,1/6/2017 13:00,2017,1,6,13,100,?g/m?,1 Hr,Valid
Shenyang,PM2.5,1/6/2017 14:00,2017,1,6,14,75,?g/m?,1 Hr,Valid
Shenyang,PM2.5,1/6/2017 15:00,2017,1,6,15,91,?g/m?,1 Hr,Valid
Shenyang,PM2.5,1/6/2017 16:00,2017,1,6,16,97,?g/m?,1 Hr,Valid
Shenyang,PM2.5,1/6/2017 17:00,2017,1,6,17,124,?g/m?,1 Hr,Valid
Shenyang,PM2.5,1/6/2017 18:00,2017,1,6,18,137,?g/m?,1 Hr,Valid
Shenyang,PM2.5,1/6/2017 19:00,2017,1,6,19,97,?g/m?,1 Hr,Valid
Shenyang,PM2.5,1/6/2017 20:00,2017,1,6,20,69,?g/m?,1 Hr,Valid
Shenyang,PM2.5,1/6/2017 21:00,2017,1,6,21,82,?g/m?,1 Hr,Valid
Shenyang,PM2.5,1/6/2017 22:00,2017,1,6,22,93,?g/m?,1 Hr,Valid
Shenyang,PM2.5,1/6/2017 23:00,2017,1,6,23,106,?g/m?,1 Hr,Valid
Shenyang,PM2.5,1/7/2017 0:00,2017,1,7,0,134,?g/m?,1 Hr,Valid
Shenyang,PM2.5,1/7/2017 1:00,2017,1,7,1,134,?g/m?,1 Hr,Valid
Shenyang,PM2.5,1/7/2017 2:00,2017,1,7,2,179,?g/m?,1 Hr,Valid
Shenyang,PM2.5,1/7/2017 3:00,2017,1,7,3,200,?g/m?,1 Hr,Valid
Shenyang,PM2.5,1/7/2017 4:00,2017,1,7,4,196,?g/m?,1 Hr,Valid
Shenyang,PM2.5,1/7/2017 5:00,2017,1,7,5,190,?g/m?,1 Hr,Valid
Shenyang,PM2.5,1/7/2017 6:00,2017,1,7,6,207,?g/m?,1 Hr,Valid
Shenyang,PM2.5,1/7/2017 7:00,2017,1,7,7,222,?g/m?,1 Hr,Valid
Shenyang,PM2.5,1/7/2017 8:00,2017,1,7,8,168,?g/m?,1 Hr,Valid
Shenyang,PM2.5,1/7/2017 9:00,2017,1,7,9,123,?g/m?,1 Hr,Valid
Shenyang,PM2.5,1/7/2017 10:00,2017,1,7,10,141,?g/m?,1 Hr,Valid
Shenyang,PM2.5,1/7/2017 11:00,2017,1,7,11,237,?g/m?,1 Hr,Valid
Shenyang,PM2.5,1/7/2017 12:00,2017,1,7,12,177,?g/m?,1 Hr,Valid
Shenyang,PM2.5,1/7/2017 13:00,2017,1,7,13,205,?g/m?,1 Hr,Valid
Shenyang,PM2.5,1/7/2017 14:00,2017,1,7,14,239,?g/m?,1 Hr,Valid
Shenyang,PM2.5,1/7/2017 15:00,2017,1,7,15,214,?g/m?,1 Hr,Valid
Shenyang,PM2.5,1/7/2017 16:00,2017,1,7,16,209,?g/m?,1 Hr,Valid
Shenyang,PM2.5,1/7/2017 17:00,2017,1,7,17,223,?g/m?,1 Hr,Valid
Shenyang,PM2.5,1/7/2017 18:00,2017,1,7,18,231,?g/m?,1 Hr,Valid
Shenyang,PM2.5,1/7/2017 19:00,2017,1,7,19,216,?g/m?,1 Hr,Valid
Shenyang,PM2.5,1/7/2017 20:00,2017,1,7,20,217,?g/m?,1 Hr,Valid
Shenyang,PM2.5,1/7/2017 21:00,2017,1,7,21,219,?g/m?,1 Hr,Valid
Shenyang,PM2.5,1/7/2017 22:00,2017,1,7,22,224,?g/m?,1 Hr,Valid
Shenyang,PM2.5,1/7/2017 23:00,2017,1,7,23,233,?g/m?,1 Hr,Valid
Shenyang,PM2.5,1/8/2017 0:00,2017,1,8,0,236,?g/m?,1 Hr,Valid
Shenyang,PM2.5,1/8/2017 1:00,2017,1,8,1,232,?g/m?,1 Hr,Valid
Shenyang,PM2.5,1/8/2017 2:00,2017,1,8,2,238,?g/m?,1 Hr,Valid
Shenyang,PM2.5,1/8/2017 3:00,2017,1,8,3,254,?g/m?,1 Hr,Valid
Shenyang,PM2.5,1/8/2017 4:00,2017,1,8,4,239,?g/m?,1 Hr,Valid
Shenyang,PM2.5,1/8/2017 5:00,2017,1,8,5,240,?g/m?,1 Hr,Valid
Shenyang,PM2.5,1/8/2017 6:00,2017,1,8,6,206,?g/m?,1 Hr,Valid
Shenyang,PM2.5,1/8/2017 7:00,2017,1,8,7,208,?g/m?,1 Hr,Valid
Shenyang,PM2.5,1/8/2017 8:00,2017,1,8,8,215,?g/m?,1 Hr,Valid
Shenyang,PM2.5,1/8/2017 9:00,2017,1,8,9,210,?g/m?,1 Hr,Valid
Shenyang,PM2.5,1/8/2017 10:00,2017,1,8,10,211,?g/m?,1 Hr,Valid
Shenyang,PM2.5,1/8/2017 11:00,2017,1,8,11,236,?g/m?,1 Hr,Valid
Shenyang,PM2.5,1/8/2017 12:00,2017,1,8,12,229,?g/m?,1 Hr,Valid
Shenyang,PM2.5,1/8/2017 13:00,2017,1,8,13,250,?g/m?,1 Hr,Valid
Shenyang,PM2.5,1/8/2017 14:00,2017,1,8,14,241,?g/m?,1 Hr,Valid
Shenyang,PM2.5,1/8/2017 15:00,2017,1,8,15,205,?g/m?,1 Hr,Valid
Shenyang,PM2.5,1/8/2017 16:00,2017,1,8,16,205,?g/m?,1 Hr,Valid
Shenyang,PM2.5,1/8/2017 17:00,2017,1,8,17,198,?g/m?,1 Hr,Valid
Shenyang,PM2.5,1/8/2017 18:00,2017,1,8,18,210,?g/m?,1 Hr,Valid
Shenyang,PM2.5,1/8/2017 19:00,2017,1,8,19,234,?g/m?,1 Hr,Valid
Shenyang,PM2.5,1/8/2017 20:00,2017,1,8,20,272,?g/m?,1 Hr,Valid
Shenyang,PM2.5,1/8/2017 21:00,2017,1,8,21,233,?g/m?,1 Hr,Valid
Shenyang,PM2.5,1/8/2017 22:00,2017,1,8,22,205,?g/m?,1 Hr,Valid
Shenyang,PM2.5,1/8/2017 23:00,2017,1,8,23,199,?g/m?,1 Hr,Valid
Shenyang,PM2.5,1/9/2017 0:00,2017,1,9,0,176,?g/m?,1 Hr,Valid
Shenyang,PM2.5,1/9/2017 1:00,2017,1,9,1,118,?g/m?,1 Hr,Valid
Shenyang,PM2.5,1/9/2017 2:00,2017,1,9,2,46,?g/m?,1 Hr,Valid
Shenyang,PM2.5,1/9/2017 3:00,2017,1,9,3,28,?g/m?,1 Hr,Valid
Shenyang,PM2.5,1/9/2017 4:00,2017,1,9,4,15,?g/m?,1 Hr,Valid
Shenyang,PM2.5,1/9/2017 5:00,2017,1,9,5,14,?g/m?,1 Hr,Valid
Shenyang,PM2.5,1/9/2017 6:00,2017,1,9,6,20,?g/m?,1 Hr,Valid
Shenyang,PM2.5,1/9/2017 7:00,2017,1,9,7,14,?g/m?,1 Hr,Valid
Shenyang,PM2.5,1/9/2017 8:00,2017,1,9,8,15,?g/m?,1 Hr,Valid
Shenyang,PM2.5,1/9/2017 9:00,2017,1,9,9,16,?g/m?,1 Hr,Valid
Shenyang,PM2.5,1/9/2017 10:00,2017,1,9,10,17,?g/m?,1 Hr,Valid
Shenyang,PM2.5,1/9/2017 11:00,2017,1,9,11,15,?g/m?,1 Hr,Valid
Shenyang,PM2.5,1/9/2017 12:00,2017,1,9,12,15,?g/m?,1 Hr,Valid
Shenyang,PM2.5,1/9/2017 13:00,2017,1,9,13,17,?g/m?,1 Hr,Valid
Shenyang,PM2.5,1/9/2017 14:00,2017,1,9,14,25,?g/m?,1 Hr,Valid
Shenyang,PM2.5,1/9/2017 15:00,2017,1,9,15,12,?g/m?,1 Hr,Valid
Shenyang,PM2.5,1/9/2017 16:00,2017,1,9,16,28,?g/m?,1 Hr,Valid
Shenyang,PM2.5,1/9/2017 17:00,2017,1,9,17,22,?g/m?,1 Hr,Valid
Shenyang,PM2.5,1/9/2017 18:00,2017,1,9,18,34,?g/m?,1 Hr,Valid
Shenyang,PM2.5,1/9/2017 19:00,2017,1,9,19,34,?g/m?,1 Hr,Valid
Shenyang,PM2.5,1/9/2017 20:00,2017,1,9,20,31,?g/m?,1 Hr,Valid
Shenyang,PM2.5,1/9/2017 21:00,2017,1,9,21,42,?g/m?,1 Hr,Valid
Shenyang,PM2.5,1/9/2017 22:00,2017,1,9,22,50,?g/m?,1 Hr,Valid
Shenyang,PM2.5,1/9/2017 23:00,2017,1,9,23,47,?g/m?,1 Hr,Valid
Shenyang,PM2.5,1/10/2017 0:00,2017,1,10,0,68,?g/m?,1 Hr,Valid
Shenyang,PM2.5,1/10/2017 1:00,2017,1,10,1,70,?g/m?,1 Hr,Valid
Shenyang,PM2.5,1/10/2017 2:00,2017,1,10,2,43,?g/m?,1 Hr,Valid
Shenyang,PM2.5,1/10/2017 3:00,2017,1,10,3,19,?g/m?,1 Hr,Valid
Shenyang,PM2.5,1/10/2017 4:00,2017,1,10,4,11,?g/m?,1 Hr,Valid
Shenyang,PM2.5,1/10/2017 5:00,2017,1,10,5,11,?g/m?,1 Hr,Valid
Shenyang,PM2.5,1/10/2017 6:00,2017,1,10,6,13,?g/m?,1 Hr,Valid
Shenyang,PM2.5,1/10/2017 7:00,2017,1,10,7,12,?g/m?,1 Hr,Valid
Shenyang,PM2.5,1/10/2017 8:00,2017,1,10,8,16,?g/m?,1 Hr,Valid
Shenyang,PM2.5,1/10/2017 9:00,2017,1,10,9,23,?g/m?,1 Hr,Valid
